,lon,lat,date,manner_of_death,age,gender,city,state,mental_illness,threat_level,Armed,Race,State
1,-97.330053,37.6871761,1/3/2015,shot and Tasered,23,M,Wichita,kansas,FALSE,other,Unarmed,Hispanic,kansas
2,-91.1128901,40.8076529,1/6/2015,shot,34,F,Burlington,iowa,FALSE,other,Unarmed,White,iowa
3,-92.3566861,33.1073435,1/8/2015,shot,36,M,Strong,arkansas,FALSE,attack,Unarmed,Black,arkansas
4,-101.7937669,33.1667601,1/26/2015,shot,24,M,Tahoka,texas,FALSE,other,Unarmed,Hispanic,texas
5,-97.0583681,36.1156071,1/29/2015,shot,42,M,Stillwater,oklahoma,FALSE,other,Unarmed,White,oklahoma
6,-76.7083033,40.2653681,2/2/2015,shot,59,M,Hummelstown,pennsylvania,FALSE,other,Unarmed,White,pennsylvania
7,-84.2807329,30.4382559,2/4/2015,shot,28,M,Tallahassee,florida,FALSE,attack,Unarmed,Black,florida
8,-111.9400054,33.4255104,2/4/2015,shot,28,M,Tempe,arizona,FALSE,other,Unarmed,Hispanic,arizona
9,-119.1005657,46.2395793,2/10/2015,shot and Tasered,35,M,Pasco,washington,TRUE,other,Unarmed,Hispanic,washington
10,-75.9268747,40.3356483,2/13/2015,shot,35,M,Reading,pennsylvania,FALSE,other,Unarmed,Hispanic,pennsylvania
11,-80.2456045,25.9420377,2/15/2015,shot and Tasered,25,M,Miami Gardens,florida,TRUE,other,Unarmed,Black,florida
12,-93.2922989,37.2089572,2/17/2015,shot,31,M,Springfield,missouri,FALSE,other,Unarmed,White,missouri
13,-97.0819541,32.8370727,2/20/2015,shot,31,M,Euless,texas,FALSE,other,Unarmed,Hispanic,texas
14,-95.9979883,41.2523634,2/23/2015,shot and Tasered,39,M,Omaha,nebraska,FALSE,other,Unarmed,White,nebraska
15,-87.4139092,39.4667034,2/26/2015,shot and Tasered,31,M,Terre Haute,indiana,FALSE,other,Unarmed,White,indiana
16,-89.0928155,30.3674198,2/26/2015,shot,49,M,Gulfport,mississippi,FALSE,other,Unarmed,White,mississippi
17,-117.8678338,33.7455731,2/27/2015,shot,27,M,Santa Ana,california,FALSE,undetermined,Unarmed,Hispanic,california
18,-84.8776392,42.729993,2/28/2015,shot and Tasered,17,M,Roxand Township,michigan,FALSE,attack,Unarmed,White,michigan
19,-90.1994042,38.6270025,2/28/2015,shot,34,M,St Louis,missouri,FALSE,other,Unarmed,Black,missouri
20,-118.2436849,34.0522342,3/1/2015,shot and Tasered,43,M,Los Angeles,california,TRUE,attack,Unarmed,Black,california
21,-81.2636738,28.9005446,3/4/2015,shot,26,M,Deltona,florida,FALSE,other,Unarmed,White,florida
22,-118.3089661,34.1808392,3/5/2015,shot,36,M,Burbank,california,FALSE,other,Unarmed,Hispanic,california
23,-104.8319195,39.7294319,3/6/2015,shot,37,M,Aurora,colorado,FALSE,undetermined,Unarmed,Black,colorado
24,-89.4012302,43.0730517,3/6/2015,shot,19,M,Madison,wisconsin,FALSE,attack,Unarmed,Black,wisconsin
25,-84.3879824,33.7489954,3/9/2015,shot,27,M,Atlanta,georgia,TRUE,other,Unarmed,Black,georgia
26,-77.0368707,38.9071923,3/12/2015,shot,35,M,Washington,district of columbia,TRUE,other,Unarmed,Black,district of columbia
27,-122.0651819,37.9100783,3/13/2015,shot,32,M,Walnut Creek,california,FALSE,other,Unarmed,Hispanic,california
28,-121.4943996,38.5815719,3/17/2015,shot,22,M,Sacramento,california,FALSE,undetermined,Unarmed,Hispanic,california
29,-122.2648752,49.0001217,3/19/2015,shot,20,M,Sumas,washington,TRUE,attack,Unarmed,White,washington
30,-81.6943605,41.49932,3/19/2015,shot,18,M,Cleveland,ohio,FALSE,attack,Unarmed,Black,ohio
31,-95.992775,36.1539816,4/2/2015,shot,44,M,Tulsa,oklahoma,FALSE,other,Unarmed,Black,oklahoma
32,-79.9748103,32.8546197,4/4/2015,shot and Tasered,50,M,North Charleston,south carolina,FALSE,other,Unarmed,Black,south carolina
33,-95.3698028,29.7604267,4/15/2015,shot,41,M,Houston,texas,FALSE,other,Unarmed,Black,texas
34,-76.2982742,36.8354258,4/22/2015,shot,18,M,Portsmouth,virginia,FALSE,undetermined,Unarmed,Black,virginia
35,-118.1937395,33.7700504,4/23/2015,shot,19,M,Long Beach,california,FALSE,other,Unarmed,Hispanic,california
36,-74.0059413,40.7127837,4/25/2015,shot,24,M,New York,new york,TRUE,attack,Unarmed,Black,new york
37,-94.7608801,35.6826766,4/26/2015,shot,29,M,Bunch,oklahoma,FALSE,attack,Unarmed,White,oklahoma
38,-118.4694832,33.9850469,5/5/2015,shot,29,M,Venice,california,FALSE,attack,Unarmed,Black,california
39,-77.1067698,38.8799697,5/19/2015,shot,54,M,Arlington,virginia,FALSE,attack,Unarmed,Hispanic,virginia
40,-112.0098791,34.7391876,5/30/2015,shot,19,M,Cottonwood,arizona,FALSE,attack,Unarmed,White,arizona
41,-106.7333599,34.806166,6/3/2015,shot and Tasered,36,M,Los Lunas,new mexico,FALSE,attack,Unarmed,Hispanic,new mexico
42,-83.6499321,41.04422,6/9/2015,shot,30,M,Findlay,ohio,FALSE,attack,Unarmed,White,ohio
43,-93.6091064,41.6005448,6/9/2015,shot,28,M,Des Moines,iowa,FALSE,other,Unarmed,White,iowa
44,-119.9771868,38.939926,6/15/2015,shot,22,M,South Lake Tahoe,california,FALSE,other,Unarmed,Black,california
45,-117.9075627,34.1336186,6/21/2015,shot,24,M,Azusa,california,TRUE,other,Unarmed,Hispanic,california
46,-86.158068,39.768403,6/23/2015,shot,34,M,Indianapolis,indiana,FALSE,other,Unarmed,White,indiana
47,-76.7802528,39.4195499,6/25/2015,shot,41,M,Owings Mills,maryland,TRUE,other,Unarmed,Black,maryland
48,-81.655651,30.3321838,7/2/2015,shot,23,M,Jacksonville,florida,FALSE,attack,Unarmed,Black,florida
49,-121.8746789,37.6624312,7/5/2015,shot,19,M,Pleasanton,california,FALSE,attack,Unarmed,White,california
50,-118.0728424,33.8314045,7/5/2015,shot,43,M,Hawaiian Gardens,california,FALSE,other,Unarmed,White,california
51,-80.2331036,26.1275862,7/12/2015,shot and Tasered,36,M,Plantation,florida,FALSE,attack,Unarmed,Black,florida
52,-81.3792365,28.5383355,7/17/2015,shot and Tasered,23,M,Orlando,florida,FALSE,attack,Unarmed,Black,florida
53,-90.0489801,35.1495343,7/17/2015,shot,19,M,Memphis,tennessee,FALSE,attack,Unarmed,Black,tennessee
54,-84.5091102,39.1214868,7/19/2015,shot,43,M,Mt. Auburn,ohio,FALSE,other,Unarmed,Black,ohio
55,-84.7452138,34.2828722,7/21/2015,shot,47,M,White,georgia,FALSE,other,Unarmed,White,georgia
56,-93.4555093,45.0105194,7/23/2015,shot and Tasered,31,M,Plymouth,minnesota,TRUE,attack,Unarmed,White,minnesota
57,-97.1080656,32.735687,8/7/2015,shot,19,M,Arlington,texas,FALSE,other,Unarmed,Black,texas
58,-76.8894171,38.8576128,8/14/2015,shot,30,M,District Heights,maryland,TRUE,attack,Unarmed,Black,maryland
59,-85.4735707,38.7142263,8/15/2015,shot and Tasered,43,M,Hanover,indiana,FALSE,attack,Unarmed,White,indiana
60,-121.8863286,37.3382082,8/17/2015,shot,40,M,San Jose,california,FALSE,other,Unarmed,Hispanic,california
61,-87.5691735,33.2098407,8/20/2015,shot and Tasered,50,M,Tuscaloosa,alabama,TRUE,attack,Unarmed,White,alabama
62,-73.8370786,40.9125992,8/28/2015,shot,61,M,Mount Vernon,new york,FALSE,other,Unarmed,Black,new york
63,-87.6297982,41.8781136,8/29/2015,shot,29,M,Chicago,illinois,FALSE,undetermined,Unarmed,Hispanic,illinois
64,-75.977985,36.8529263,9/5/2015,shot,28,F,Virginia Beach,virginia,FALSE,undetermined,Unarmed,Black,virginia
65,-117.0172826,34.8957957,9/14/2015,shot,28,M,Barstow,california,TRUE,attack,Unarmed,White,california
66,-95.555513,33.6609389,9/21/2015,shot and Tasered,21,M,Paris,texas,FALSE,attack,Unarmed,White,texas
67,-76.8294213,39.4695489,9/23/2015,shot,19,M,Reisterstown,maryland,FALSE,other,Unarmed,Black,maryland
68,-81.5190053,41.0814447,9/25/2015,shot,21,M,Akron,ohio,FALSE,undetermined,Unarmed,White,ohio
69,-80.1917902,25.7616798,9/28/2015,shot and Tasered,31,M,Miami,florida,FALSE,attack,Unarmed,Black,florida
70,-93.2938352,45.8769031,9/29/2015,shot,37,M,Mora,minnesota,FALSE,attack,Unarmed,White,minnesota
71,-101.8312969,35.2219971,10/2/2015,shot,29,M,Amarillo,texas,FALSE,undetermined,Unarmed,White,texas
72,-117.9436749,34.0452883,10/16/2015,shot,27,M,Valinda,california,FALSE,attack,Unarmed,Hispanic,california
73,-119.4201204,36.3510616,10/21/2015,shot,21,M,West Goshen,california,TRUE,attack,Unarmed,Hispanic,california
74,-117.2466838,32.70003,10/28/2015,shot,29,M,Point Loma,california,FALSE,attack,Unarmed,Black,california
75,-85.3782795,32.6454116,10/31/2015,shot,56,M,Opelika,alabama,FALSE,other,Unarmed,Black,alabama
76,-92.0662356,31.1279652,11/3/2015,shot,6,M,Marksville,louisiana,FALSE,other,Unarmed,White,louisiana
77,-117.2355851,32.8024577,11/4/2015,shot,47,M,Pacific Beach,california,FALSE,other,Unarmed,White,california
78,-93.2650108,44.977753,11/15/2015,shot,24,M,Minneapolis,minnesota,FALSE,undetermined,Unarmed,Black,minnesota
79,-84.7249188,31.4398976,11/17/2015,shot,58,M,Arlington,georgia,FALSE,other,Unarmed,White,georgia
80,-117.0172826,34.8957957,11/20/2015,shot,29,M,Barstow,california,TRUE,attack,Unarmed,Black,california
81,-96.5024916,33.8531568,11/21/2015,shot,24,M,Colbert,oklahoma,FALSE,attack,Unarmed,White,oklahoma
82,-121.8374777,39.7284944,11/26/2015,shot,26,M,Chico,california,FALSE,other,Unarmed,White,california
83,-73.8987469,40.9312099,12/8/2015,shot,36,M,Yonkers,new york,FALSE,other,Unarmed,Black,new york
84,-110.926479,32.2217429,12/11/2015,shot,36,M,Tucson,arizona,FALSE,attack,Unarmed,White,arizona
85,-91.8992837,30.2735323,12/21/2015,shot,NA,M,Breaux Bridge,louisiana,TRUE,other,Unarmed,Black,louisiana
86,-83.1763145,42.3222599,12/23/2015,shot,35,M,Dearborn,michigan,TRUE,other,Unarmed,Black,michigan
87,-87.6297982,41.8781136,12/26/2015,shot,55,F,Chicago,illinois,FALSE,other,Unarmed,Black,illinois
88,-115.1398296,36.1699412,12/31/2015,shot,23,M,Las Vegas,nevada,FALSE,other,Unarmed,Black,nevada
89,-79.6614376,40.3840734,1/11/2016,shot,12,F,Penn Township,pennsylvania,FALSE,other,Unarmed,White,pennsylvania
90,-116.9625269,32.7947731,1/16/2016,shot,25,F,El Cajon,california,FALSE,other,Unarmed,White,california
91,-111.8314724,33.4151843,1/17/2016,shot,26,M,Mesa,arizona,FALSE,attack,Unarmed,White,arizona
92,-98.4936282,29.4241219,2/4/2016,shot,36,M,San Antonio,texas,FALSE,other,Unarmed,Black,texas
93,-97.7430608,30.267153,2/8/2016,shot,17,M,Austin,texas,FALSE,other,Unarmed,Black,texas
94,-117.9145036,33.8352932,2/9/2016,shot,22,M,Anaheim,california,FALSE,undetermined,Unarmed,Hispanic,california
95,-94.4554782,32.2429366,2/13/2016,shot,24,M,Beckville,texas,FALSE,undetermined,Unarmed,Black,texas
96,-118.3531311,33.9616801,2/21/2016,shot,32,M,Inglewood,california,FALSE,other,Unarmed,Black,california
97,-122.8670454,45.4942838,1/2/2015,shot,47,M,Aloha,oregon,FALSE,attack,Armed/Undetermined,White,oregon
98,-122.4194155,37.7749295,1/4/2015,shot,32,M,San Francisco,california,TRUE,attack,Armed/Undetermined,White,california
99,-104.6921874,40.3763701,1/4/2015,shot,39,M,Evans,colorado,FALSE,attack,Armed/Undetermined,Hispanic,colorado
100,-97.4253185,35.878937,1/4/2015,shot,18,M,Guthrie,oklahoma,FALSE,attack,Armed/Undetermined,White,oklahoma
101,-111.8412502,33.3061605,1/5/2015,shot,22,M,Chandler,arizona,FALSE,attack,Armed/Undetermined,Hispanic,arizona
102,-97.6044806,38.6802826,1/6/2015,shot,35,M,Assaria,kansas,FALSE,attack,Armed/Undetermined,White,kansas
103,-77.4388719,41.9572933,1/6/2015,shot,47,M,Knoxville,pennsylvania,FALSE,attack,Armed/Undetermined,Black,pennsylvania
104,-121.2907796,37.9577016,1/6/2015,shot and Tasered,25,M,Stockton,california,FALSE,attack,Armed/Undetermined,White,california
105,-95.3596617,28.9541368,1/7/2015,shot,31,M,Freeport,texas,FALSE,attack,Armed/Undetermined,Black,texas
106,-82.9987942,39.9611755,1/7/2015,shot,41,M,Columbus,ohio,TRUE,other,Armed/Undetermined,Black,ohio
107,-93.6091064,41.6005448,1/7/2015,shot,30,M,Des Moines,iowa,FALSE,attack,Armed/Undetermined,White,iowa
108,-90.0715323,29.9510658,1/7/2015,shot,37,M,New Orleans,louisiana,FALSE,attack,Armed/Undetermined,Black,louisiana
109,-108.3015173,45.899401,1/8/2015,shot,28,M,Huntley,montana,FALSE,undetermined,Armed/Undetermined,White,montana
110,-111.8910474,40.7607793,1/8/2015,shot,42,M,Salt Lake City,utah,FALSE,attack,Armed/Undetermined,White,utah
111,-112.0646657,41.0893878,1/8/2015,shot,49,M,Syracuse,utah,FALSE,attack,Armed/Undetermined,White,utah
112,-91.9690284,34.5442609,1/9/2015,shot,71,M,England,arkansas,FALSE,attack,Armed/Undetermined,White,arkansas
113,-106.4850217,31.7618778,1/9/2015,shot,33,M,El Paso,texas,FALSE,attack,Armed/Undetermined,Hispanic,texas
114,-88.3064367,39.684755,1/11/2015,shot,39,M,Arcola,illinois,TRUE,attack,Armed/Undetermined,White,illinois
115,-118.2120161,33.954737,1/11/2015,shot,23,M,South Gate,california,FALSE,attack,Armed/Undetermined,Hispanic,california
116,-115.1175013,36.1988592,1/11/2015,shot and Tasered,29,M,North Las Vegas,nevada,FALSE,attack,Armed/Undetermined,Hispanic,nevada
117,-106.6055534,35.0853336,1/13/2015,shot,34,M,Albuquerque,new mexico,FALSE,attack,Armed/Undetermined,White,new mexico
118,-98.5464068,28.9180294,1/13/2015,shot,43,M,Jourdanton,texas,TRUE,other,Armed/Undetermined,White,texas
119,-93.0899578,44.9537029,1/14/2015,shot,24,M,St. Paul,minnesota,FALSE,attack,Armed/Undetermined,Black,minnesota
120,-91.135302,38.3953601,1/14/2015,shot,29,M,Franklin County,missouri,FALSE,attack,Armed/Undetermined,White,missouri
121,-76.2874927,36.7682088,1/14/2015,shot,34,M,Chesapeake,virginia,TRUE,attack,Armed/Undetermined,Black,virginia
122,-74.307282,40.4128551,1/14/2015,shot,75,M,Old Bridge,new jersey,FALSE,attack,Armed/Undetermined,White,new jersey
123,-95.4343859,29.0338575,1/14/2015,shot,68,M,Lake Jackson,texas,FALSE,attack,Armed/Undetermined,White,texas
124,-111.8638226,40.5246711,1/14/2015,shot,34,M,Draper,utah,FALSE,attack,Armed/Undetermined,White,utah
125,-86.158068,39.768403,1/15/2015,shot,27,M,Indianapolis,indiana,FALSE,attack,Armed/Undetermined,Black,indiana
126,-104.8319195,39.7294319,1/15/2015,shot,39,M,Aurora,colorado,FALSE,attack,Armed/Undetermined,Black,colorado
127,-93.2982799,44.840798,1/15/2015,shot,24,M,Bloomington,minnesota,TRUE,attack,Armed/Undetermined,White,minnesota
128,-122.0399663,38.2493581,1/15/2015,shot,36,M,Fairfield,california,TRUE,other,Armed/Undetermined,Hispanic,california
129,-92.3813621,30.7821781,1/15/2015,shot,33,M,Evangeline Parish,louisiana,FALSE,attack,Armed/Undetermined,White,louisiana
130,-96.1008056,32.3665322,1/16/2015,shot,41,M,Mabank,texas,FALSE,attack,Armed/Undetermined,White,texas
131,-95.3696909,35.7478769,1/17/2015,shot,21,M,Muskogee,oklahoma,FALSE,attack,Armed/Undetermined,Black,oklahoma
132,-118.2436849,34.0522342,1/17/2015,shot,24,M,Los Angeles,california,FALSE,attack,Armed/Undetermined,Hispanic,california
133,-97.3307658,32.7554883,1/17/2015,shot,27,M,Fort Worth,texas,FALSE,attack,Armed/Undetermined,Hispanic,texas
134,-112.0476423,33.0581063,1/18/2015,shot,32,M,Maricopa,arizona,TRUE,attack,Armed/Undetermined,White,arizona
135,-82.9259979,37.547597,1/18/2015,shot and Tasered,67,M,Gunlock,kentucky,TRUE,attack,Armed/Undetermined,White,kentucky
136,-70.9410356,42.2180724,1/19/2015,shot,49,M,Weymouth,massachusetts,FALSE,attack,Armed/Undetermined,White,massachusetts
137,-111.9260519,33.4941704,1/20/2015,shot,42,M,Scottsdale,arizona,FALSE,other,Armed/Undetermined,Black,arizona
138,-116.9719684,33.7475203,1/21/2015,shot,36,M,Hemet,california,FALSE,attack,Armed/Undetermined,White,california
139,-99.154991,26.534403,1/21/2015,shot,36,M,Chapeno,texas,FALSE,attack,Armed/Undetermined,Hispanic,texas
140,-90.1994042,38.6270025,1/21/2015,shot,19,M,St. Louis,missouri,FALSE,attack,Armed/Undetermined,Black,missouri
141,-71.3273346,42.8806437,1/21/2015,shot,54,M,Derry,new hampshire,TRUE,attack,Armed/Undetermined,White,new hampshire
142,-105.3571764,31.1745732,1/22/2015,shot,25,M,Sierra Blanca,texas,FALSE,attack,Armed/Undetermined,Black,texas
143,-94.7404891,32.5007037,1/22/2015,shot and Tasered,17,F,Longview,texas,TRUE,other,Armed/Undetermined,White,texas
144,-97.7430608,30.267153,1/23/2015,shot,61,M,Austin,texas,TRUE,attack,Armed/Undetermined,White,texas
145,-80.1373174,26.1224386,1/23/2015,shot,29,M,Fort Lauderdale,florida,FALSE,other,Armed/Undetermined,Black,florida
146,-102.37796,33.5873164,1/23/2015,shot,56,M,Levelland,texas,FALSE,other,Armed/Undetermined,Hispanic,texas
147,-97.3307658,32.7554883,1/24/2015,shot,40,M,Fort Worth,texas,FALSE,attack,Armed/Undetermined,White,texas
148,-111.7924237,43.8231096,1/24/2015,shot,45,M,Rexburg,idaho,FALSE,attack,Armed/Undetermined,White,idaho
149,-76.6121893,39.2903848,1/24/2015,shot,26,M,Baltimore,maryland,TRUE,other,Armed/Undetermined,Black,maryland
150,-104.6091409,38.2544472,1/25/2015,shot,26,M,Pueblo,colorado,FALSE,attack,Armed/Undetermined,Hispanic,colorado
151,-104.990251,39.7392358,1/26/2015,shot,17,F,Denver,colorado,FALSE,other,Armed/Undetermined,Hispanic,colorado
152,-93.3866185,45.0380201,1/26/2015,shot,68,M,New Hope,minnesota,TRUE,attack,Armed/Undetermined,White,minnesota
153,-119.3409457,35.5941238,1/26/2015,shot,34,M,Wasco,california,TRUE,other,Armed/Undetermined,Hispanic,california
154,-109.3280282,33.0508859,1/27/2015,shot,29,M,Morenci,arizona,FALSE,attack,Armed/Undetermined,White,arizona
155,-82.9987942,39.9611755,1/27/2015,shot,33,M,Columbus,ohio,FALSE,attack,Armed/Undetermined,Black,ohio
156,-95.9979883,41.2523634,1/27/2015,shot,39,F,Omaha,nebraska,TRUE,attack,Armed/Undetermined,White,nebraska
157,-97.7666999,33.4520535,1/28/2015,shot,45,M,Sunset,texas,FALSE,attack,Armed/Undetermined,White,texas
158,-95.8085623,29.5571825,1/28/2015,shot,26,M,Rosenberg,texas,FALSE,attack,Armed/Undetermined,White,texas
159,-85.7053085,42.9133602,1/29/2015,shot,31,M,Wyoming,michigan,TRUE,attack,Armed/Undetermined,White,michigan
160,-108.5006904,45.7832856,1/30/2015,shot,48,M,Billings,montana,FALSE,attack,Armed/Undetermined,White,montana
161,-95.3698028,29.7604267,1/31/2015,shot,31,M,Houston,texas,FALSE,attack,Armed/Undetermined,Hispanic,texas
162,-76.7952525,39.3673278,1/31/2015,shot and Tasered,54,M,Randallstown,maryland,TRUE,other,Armed/Undetermined,Black,maryland
163,-83.8888647,43.5944677,2/2/2015,shot,17,M,Bay City,michigan,FALSE,attack,Armed/Undetermined,White,michigan
164,-117.1858759,34.5008311,2/2/2015,shot,42,M,Apple Valley,california,TRUE,attack,Armed/Undetermined,White,california
165,-90.1994042,38.6270025,2/3/2015,shot,23,M,St. Louis,missouri,FALSE,attack,Armed/Undetermined,Black,missouri
166,-122.2852473,37.831316,2/3/2015,shot,38,F,Emeryville,california,FALSE,attack,Armed/Undetermined,Black,california
167,-121.805789,38.0049214,2/3/2015,shot,29,M,Antioch,california,TRUE,other,Armed/Undetermined,Black,california
168,-82.8498654,31.5088073,2/3/2015,shot,45,M,Douglas,georgia,TRUE,attack,Armed/Undetermined,White,georgia
169,-81.3792365,28.5383355,2/4/2015,shot,37,M,Orlando,florida,FALSE,attack,Armed/Undetermined,Hispanic,florida
170,-111.9400054,33.4255104,2/4/2015,shot,28,M,Tempe,arizona,FALSE,attack,Armed/Undetermined,Hispanic,arizona
171,-97.2155596,31.3865592,2/4/2015,shot,51,M,Lorena,texas,FALSE,attack,Armed/Undetermined,Black,texas
172,-90.0489801,35.1495343,2/4/2015,shot,36,M,Memphis,tennessee,FALSE,other,Armed/Undetermined,Black,tennessee
173,-117.688944,34.0122346,2/5/2015,shot,59,M,Chino,california,FALSE,other,Armed/Undetermined,White,california
174,-97.5164276,35.4675602,2/6/2015,shot,25,M,Oklahoma City,oklahoma,FALSE,attack,Armed/Undetermined,Black,oklahoma
175,-117.0619755,34.0039039,2/7/2015,shot,26,M,Calimesa,california,FALSE,attack,Armed/Undetermined,White,california
176,-81.1873005,35.262082,2/7/2015,shot,74,M,Gastonia,north carolina,FALSE,attack,Armed/Undetermined,Black,north carolina
177,-149.9002778,61.2180556,2/8/2015,shot,33,M,Anchorage,alaska,FALSE,attack,Armed/Undetermined,White,alaska
178,-97.7430608,30.267153,2/8/2015,shot,27,M,Austin,texas,FALSE,attack,Armed/Undetermined,White,texas
179,-73.989306,41.1475954,2/8/2015,shot,57,M,New City,new york,TRUE,attack,Armed/Undetermined,White,new york
180,-81.2518833,28.4844995,2/8/2015,shot,46,M,Orange County,florida,FALSE,attack,Armed/Undetermined,White,florida
181,-97.7258626,33.7867684,2/8/2015,shot,41,M,Nocona,texas,FALSE,attack,Armed/Undetermined,White,texas
182,-68.1203515,46.1644547,2/9/2015,shot,61,M,Smyrna,maine,TRUE,undetermined,Armed/Undetermined,White,maine
183,-96.7969879,32.7766642,2/9/2015,shot,45,M,Dallas,texas,FALSE,attack,Armed/Undetermined,Black,texas
184,-90.0466559,35.0277933,2/10/2015,shot,49,M,Whitehaven,tennessee,FALSE,attack,Armed/Undetermined,Black,tennessee
185,-107.5364443,39.5727585,2/10/2015,shot,45,M,New Castle,colorado,TRUE,attack,Armed/Undetermined,White,colorado
186,-121.8863286,37.3382082,2/11/2015,shot,23,M,San Jose,california,TRUE,other,Armed/Undetermined,Black,california
187,-85.7635692,32.831238,2/11/2015,shot,46,M,Dadeville,alabama,TRUE,attack,Armed/Undetermined,White,alabama
188,-117.2897652,34.1083449,2/13/2015,shot,23,M,San Bernardino,california,FALSE,attack,Armed/Undetermined,White,california
189,-94.6274636,39.114053,2/13/2015,shot,21,M,Kansas City,kansas,FALSE,attack,Armed/Undetermined,Hispanic,kansas
190,-88.5745001,35.987286,2/13/2015,shot,27,M,McLemoresville,tennessee,FALSE,attack,Armed/Undetermined,White,tennessee
191,-110.6309289,32.5997933,2/13/2015,shot,37,M,San Manuel,arizona,TRUE,other,Armed/Undetermined,Hispanic,arizona
192,-76.474962,39.3092743,2/14/2015,shot,16,M,Essex,maryland,TRUE,attack,Armed/Undetermined,White,maryland
193,-99.4803241,27.5305671,2/14/2015,shot,51,M,Laredo,texas,FALSE,attack,Armed/Undetermined,White,texas
194,-88.1900415,34.8117565,2/15/2015,shot,34,M,Iuka,mississippi,FALSE,attack,Armed/Undetermined,White,mississippi
195,-122.4374803,45.1721192,2/15/2015,shot,34,M,Colton,oregon,TRUE,other,Armed/Undetermined,White,oregon
196,-111.2224422,32.436381,2/16/2015,shot,56,M,Marana,arizona,FALSE,attack,Armed/Undetermined,White,arizona
197,-116.2146068,43.6187102,2/16/2015,shot,26,M,Boise,idaho,FALSE,attack,Armed/Undetermined,White,idaho
198,-111.6585337,40.2338438,2/16/2015,shot,24,M,Provo,utah,TRUE,attack,Armed/Undetermined,White,utah
199,-81.2078164,35.2895651,2/17/2015,shot,43,F,Gaston County,north carolina,FALSE,attack,Armed/Undetermined,White,north carolina
200,-84.6688348,42.5642907,2/17/2015,shot,32,M,Eaton Rapids Township,michigan,FALSE,attack,Armed/Undetermined,White,michigan
201,-71.2342248,42.6106478,2/17/2015,shot,30,M,Tewksbury,massachusetts,FALSE,attack,Armed/Undetermined,White,massachusetts
202,-100.8958674,29.3708857,2/17/2015,shot,50,M,Del Rio,texas,FALSE,other,Armed/Undetermined,Hispanic,texas
203,-80.8431267,35.2270869,2/18/2015,shot,20,F,Charlotte,north carolina,TRUE,other,Armed/Undetermined,Black,north carolina
204,-95.3698028,29.7604267,2/20/2015,shot,NA,M,Houston,texas,FALSE,attack,Armed/Undetermined,Hispanic,texas
205,-86.8008228,33.4717732,2/20/2015,shot,38,M,Homewood,alabama,FALSE,attack,Armed/Undetermined,Black,alabama
206,-86.80249,33.5206608,2/20/2015,shot,77,M,Birmingham,alabama,TRUE,attack,Armed/Undetermined,Black,alabama
207,-105.6588485,33.3672525,2/21/2015,shot,41,M,Ruidoso,new mexico,FALSE,attack,Armed/Undetermined,White,new mexico
208,-86.158068,39.768403,2/21/2015,shot,51,M,Indianapolis,indiana,FALSE,attack,Armed/Undetermined,White,indiana
209,-80.5886646,28.0344621,2/22/2015,shot,50,M,Palm Bay,florida,FALSE,attack,Armed/Undetermined,White,florida
210,-75.4901833,40.6084305,2/23/2015,shot and Tasered,42,M,Allentown,pennsylvania,FALSE,attack,Armed/Undetermined,White,pennsylvania
211,-90.9562125,30.4868564,2/23/2015,shot,47,M,Denham Springs,louisiana,TRUE,attack,Armed/Undetermined,White,louisiana
212,-84.683824,33.8595491,2/23/2015,shot,37,M,Powder Springs,georgia,FALSE,other,Armed/Undetermined,White,georgia
213,-83.5248933,34.6125971,2/23/2015,shot,41,M,Clarkesville,georgia,FALSE,attack,Armed/Undetermined,White,georgia
214,-86.3619163,32.4798575,2/23/2015,shot,16,M,Millbrook,alabama,FALSE,attack,Armed/Undetermined,Black,alabama
215,-88.019826,44.519159,2/24/2015,shot and Tasered,30,M,Green Bay,wisconsin,TRUE,attack,Armed/Undetermined,White,wisconsin
216,-97.5164276,35.4675602,2/25/2015,shot,27,M,Oklahoma City,oklahoma,FALSE,other,Armed/Undetermined,Black,oklahoma
217,-115.1398296,36.1699412,2/25/2015,shot,43,M,Las Vegas,nevada,TRUE,attack,Armed/Undetermined,White,nevada
218,-81.9498042,28.0394654,2/26/2015,shot,42,M,Lakeland,florida,FALSE,attack,Armed/Undetermined,Hispanic,florida
219,-122.4194155,37.7749295,2/26/2015,shot,21,M,San Francisco,california,FALSE,other,Armed/Undetermined,Hispanic,california
220,-83.8354542,31.5307349,2/26/2015,shot,34,F,Sylvester,georgia,FALSE,attack,Armed/Undetermined,White,georgia
221,-82.4559598,34.6423372,2/28/2015,shot,24,M,Pelzer,south carolina,FALSE,attack,Armed/Undetermined,White,south carolina
222,-110.926479,32.2217429,2/28/2015,shot,28,F,Tucson,arizona,FALSE,other,Armed/Undetermined,Hispanic,arizona
223,-92.3340724,38.9517053,2/28/2015,shot,28,M,Columbia,missouri,FALSE,attack,Armed/Undetermined,Black,missouri
224,-77.5358049,35.8968236,2/28/2015,shot,40,M,Tarboro,north carolina,TRUE,attack,Armed/Undetermined,Black,north carolina
225,-113.9536466,34.0061091,2/28/2015,shot,37,F,La Paz County,arizona,FALSE,attack,Armed/Undetermined,White,arizona
226,-87.891111,34.738611,3/1/2015,shot,49,M,Barton,mississippi,FALSE,attack,Armed/Undetermined,White,mississippi
